session_id,customer_age,account_tenure_days,previous_purchases,product_category,items_in_cart,cart_value,treatment,completed_purchase,Y0,Y1
269,25-34,147,2,Home & Garden,4,30.35,0,1,1,0
270,25-34,151,2,Electronics,7,57.01,1,0,1,0
271,25-34,65,1,Fashion,5,44.53,0,1,1,1
272,25-34,141,4,Fashion,4,57.38,1,0,0,0
273,35-44,544,0,Fashion,2,31.41,0,1,1,1
274,18-24,215,3,Fashion,3,76.68,1,1,0,1
275,25-34,328,0,Home & Garden,4,35.0,0,1,1,1
276,25-34,380,1,Sports & Outdoors,1,40.83,0,0,0,1
277,25-34,557,0,Sports & Outdoors,7,101.84,1,0,0,0
278,45-54,15,12,Home & Garden,4,52.16,1,0,0,0
279,35-44,232,0,Books & Media,4,60.03,1,0,1,0
280,25-34,290,3,Books & Media,8,44.81,0,1,1,1
281,25-34,242,0,Electronics,2,56.03,1,0,0,0
282,55+,114,4,Electronics,7,54.89,1,0,0,0
283,18-24,117,1,Fashion,7,54.42,1,1,0,1
284,25-34,358,0,Fashion,3,80.99,1,0,1,0
285,25-34,206,1,Home & Garden,3,50.36,1,1,1,1
286,35-44,216,2,Books & Media,6,39.84,0,0,0,0
287,55+,98,1,Electronics,4,66.82,1,1,0,1
288,25-34,195,6,Fashion,1,53.53,1,1,1,1
289,25-34,487,0,Home & Garden,3,55.22,1,0,0,0
290,45-54,327,12,Electronics,5,62.48,1,0,1,0
291,55+,53,1,Sports & Outdoors,2,63.55,1,1,0,1
292,18-24,52,1,Fashion,5,48.07,0,1,1,1
293,55+,207,0,Fashion,5,40.19,0,0,0,1
294,35-44,116,2,Electronics,5,22.04,0,0,0,1
295,25-34,590,4,Electronics,2,84.92,1,0,1,0
296,18-24,90,0,Fashion,4,38.23,0,0,0,1
297,18-24,128,5,Electronics,4,41.24,0,0,0,1
298,35-44,126,1,Fashion,3,50.07,1,0,0,0
299,25-34,172,0,Home & Garden,4,106.79,1,1,0,1
300,35-44,278,1,Books & Media,3,19.04,0,1,1,0
301,25-34,71,7,Home & Garden,5,39.1,0,1,1,0
302,55+,285,7,Electronics,2,40.04,0,1,1,1
303,35-44,125,7,Fashion,3,57.68,1,0,1,0
304,45-54,209,0,Home & Garden,1,35.91,0,0,0,1
305,25-34,75,1,Books & Media,5,75.31,1,0,0,0
306,55+,149,1,Fashion,4,23.6,0,0,0,0
307,25-34,237,1,Home & Garden,4,32.24,0,0,0,0
308,25-34,376,1,Fashion,6,50.73,1,1,1,1
309,45-54,182,4,Sports & Outdoors,5,28.24,0,0,0,0
310,25-34,31,3,Electronics,4,52.73,1,1,1,1
311,45-54,341,6,Electronics,4,101.6,1,1,0,1
312,25-34,174,2,Sports & Outdoors,4,14.7,0,1,1,0
313,18-24,176,1,Electronics,4,61.26,1,0,1,0
314,25-34,338,2,Electronics,4,65.24,1,0,1,0
315,45-54,400,3,Home & Garden,3,56.88,1,0,0,0
316,18-24,415,3,Home & Garden,5,97.48,1,1,1,1
317,25-34,32,0,Fashion,7,33.91,0,1,1,1
318,35-44,75,10,Fashion,3,76.36,1,0,0,0
319,55+,84,0,Fashion,2,51.38,1,1,0,1
320,25-34,59,2,Books & Media,5,42.78,0,0,0,1
321,55+,99,1,Fashion,3,98.29,1,1,1,1
322,25-34,143,2,Fashion,4,19.68,0,1,1,1
323,45-54,58,1,Home & Garden,1,65.87,1,0,0,0
324,35-44,148,0,Electronics,6,71.25,1,1,1,1
325,55+,157,5,Electronics,2,47.29,0,0,0,1
326,45-54,81,1,Electronics,4,60.77,1,1,1,1
327,25-34,293,5,Electronics,5,152.24,1,1,0,1
328,25-34,150,5,Electronics,3,78.86,1,1,1,1
329,35-44,293,9,Home & Garden,6,24.03,0,0,0,0
330,25-34,82,3,Sports & Outdoors,6,64.43,1,0,0,0
331,25-34,61,1,Electronics,6,47.91,0,0,0,0
332,35-44,849,0,Fashion,5,36.27,0,1,1,0
333,25-34,182,0,Electronics,6,46.97,0,1,1,0
334,35-44,233,0,Fashion,4,54.35,1,0,1,0
335,55+,222,2,Electronics,3,74.29,1,1,0,1
336,35-44,843,1,Books & Media,2,5.0,0,0,0,1
337,55+,201,0,Fashion,6,64.6,1,1,0,1
338,45-54,64,0,Books & Media,4,17.62,0,1,1,0
339,25-34,309,2,Home & Garden,3,52.17,1,0,1,0
340,35-44,278,6,Fashion,4,15.19,0,0,0,1
341,55+,185,1,Fashion,4,20.85,0,1,1,0
342,25-34,90,0,Home & Garden,1,80.73,1,0,1,0
343,25-34,224,1,Fashion,4,61.12,1,0,0,0
344,55+,77,3,Home & Garden,3,27.47,0,1,1,1
345,25-34,234,0,Fashion,6,87.76,1,1,0,1
346,55+,138,11,Electronics,5,69.29,1,0,0,0
347,18-24,667,7,Home & Garden,4,51.92,1,1,1,1
348,25-34,125,0,Electronics,1,77.15,1,0,1,0
349,35-44,87,0,Books & Media,2,55.23,1,1,1,1
350,55+,11,2,Home & Garden,2,50.89,1,0,0,0
351,25-34,43,0,Home & Garden,5,87.93,1,1,0,1
352,25-34,296,4,Fashion,5,46.53,0,1,1,1
353,25-34,177,1,Home & Garden,2,21.67,0,0,0,1
354,25-34,223,0,Electronics,6,50.46,1,1,1,1
355,35-44,290,1,Books & Media,2,28.66,0,1,1,1
356,55+,112,5,Home & Garden,4,53.87,1,1,1,1
357,35-44,211,1,Fashion,3,57.95,1,1,0,1
358,55+,205,4,Home & Garden,2,24.87,0,0,0,0
359,35-44,392,3,Fashion,3,47.88,0,0,0,1
360,18-24,449,5,Electronics,2,80.92,1,1,1,1
361,35-44,198,1,Sports & Outdoors,5,90.63,1,1,0,1
362,35-44,192,0,Fashion,5,40.41,0,1,1,0
363,35-44,34,2,Sports & Outdoors,4,58.99,1,0,0,0
364,25-34,408,2,Home & Garden,1,69.47,1,1,0,1
365,18-24,268,1,Electronics,5,42.6,0,1,1,0
366,35-44,26,3,Fashion,7,73.35,1,1,0,1
367,25-34,127,0,Electronics,3,57.63,1,1,1,1
368,35-44,156,1,Home & Garden,5,76.9,1,0,0,0
369,55+,27,1,Fashion,5,101.66,1,0,0,0
370,35-44,247,0,Home & Garden,7,25.96,0,1,1,0
371,25-34,264,0,Electronics,3,46.71,0,0,0,0
372,35-44,338,1,Sports & Outdoors,6,42.18,0,0,0,1
373,25-34,148,1,Books & Media,3,62.64,1,1,1,1
374,35-44,160,0,Books & Media,3,41.85,0,1,1,1
375,55+,35,1,Fashion,2,47.14,0,0,0,1
376,35-44,16,13,Electronics,5,66.62,1,0,1,0
377,35-44,79,3,Electronics,3,75.64,1,0,0,0
378,35-44,245,1,Electronics,3,48.11,0,0,0,1
379,25-34,399,3,Electronics,2,80.29,1,0,1,0
380,55+,101,3,Home & Garden,2,110.66,1,1,1,1
381,25-34,167,0,Fashion,3,40.66,0,0,0,1
382,18-24,114,0,Home & Garden,5,26.11,0,0,0,1
383,35-44,132,2,Sports & Outdoors,4,57.89,1,1,1,1
384,45-54,405,0,Electronics,4,70.53,1,1,0,1
385,25-34,45,0,Books & Media,5,86.14,1,1,0,1
386,45-54,66,0,Books & Media,2,39.75,0,0,0,1
387,35-44,27,1,Books & Media,7,48.37,0,1,1,0
388,45-54,44,18,Sports & Outdoors,4,30.59,0,1,1,1
389,45-54,406,0,Sports & Outdoors,4,87.27,1,1,1,1
390,35-44,102,2,Electronics,6,28.15,0,0,0,1
391,25-34,61,1,Fashion,7,96.8,1,1,0,1
392,55+,335,3,Fashion,4,42.57,0,0,0,0
393,25-34,222,0,Books & Media,6,72.56,1,1,0,1
394,25-34,30,4,Books & Media,2,23.76,0,0,0,1
395,25-34,72,13,Fashion,3,14.9,0,1,1,1
396,18-24,187,4,Sports & Outdoors,7,44.77,0,1,1,0
397,55+,87,2,Electronics,4,70.58,1,1,1,1
398,18-24,221,2,Fashion,4,29.17,0,1,1,1
399,45-54,392,1,Electronics,2,63.65,1,0,1,0
400,45-54,247,5,Books & Media,3,5.0,0,0,0,0
401,18-24,239,0,Books & Media,2,57.86,1,0,1,0
402,25-34,13,9,Home & Garden,2,95.34,1,1,0,1
403,25-34,59,0,Electronics,2,105.59,1,1,0,1
404,55+,146,2,Fashion,2,45.0,0,1,1,0
405,35-44,58,1,Electronics,6,42.36,0,1,1,0
406,25-34,146,0,Books & Media,3,5.2,0,1,1,0
407,25-34,72,3,Fashion,1,34.16,0,0,0,0
408,45-54,485,7,Sports & Outdoors,10,124.8,1,1,0,1
409,55+,187,18,Home & Garden,4,75.1,1,0,1,0
410,25-34,148,0,Home & Garden,5,56.02,1,0,0,0
411,25-34,230,2,Home & Garden,5,55.02,1,1,0,1
412,25-34,380,3,Electronics,8,73.07,1,1,0,1
413,25-34,120,1,Fashion,4,62.19,1,0,0,0
414,35-44,146,9,Books & Media,6,21.2,0,0,0,0
415,25-34,274,3,Home & Garden,5,49.29,0,1,1,1
416,55+,42,5,Electronics,6,43.64,0,0,0,0
417,18-24,567,0,Fashion,4,29.17,0,0,0,1
418,18-24,110,0,Fashion,2,27.53,0,0,0,1
419,25-34,412,0,Fashion,2,72.74,1,1,1,1
420,45-54,104,0,Electronics,4,86.53,1,1,1,1
421,45-54,365,4,Electronics,2,67.86,1,1,1,1
422,18-24,865,6,Fashion,5,48.12,0,1,1,1
423,25-34,106,4,Electronics,4,69.96,1,1,1,1
424,18-24,315,1,Fashion,6,36.47,0,1,1,1
425,18-24,88,1,Home & Garden,7,43.94,0,0,0,0
426,45-54,312,8,Electronics,3,53.67,1,1,1,1
427,25-34,250,1,Fashion,3,23.52,0,1,1,1
428,35-44,194,2,Electronics,2,49.37,0,0,0,0
429,35-44,69,8,Books & Media,3,51.23,1,0,1,0
430,35-44,97,1,Home & Garden,3,27.93,0,0,0,1
431,18-24,83,1,Home & Garden,3,83.28,1,0,1,0
432,25-34,358,2,Home & Garden,5,76.01,1,0,1,0
433,35-44,358,2,Electronics,7,54.66,1,1,1,1
434,45-54,328,6,Home & Garden,4,43.93,0,1,1,1
435,18-24,299,1,Home & Garden,3,99.08,1,0,0,0
436,55+,88,5,Home & Garden,5,45.07,0,0,0,0
437,55+,170,1,Fashion,3,89.91,1,0,1,0
438,18-24,181,3,Electronics,3,46.19,0,1,1,1
439,25-34,186,1,Fashion,4,52.36,1,1,0,1
440,25-34,72,5,Fashion,4,65.3,1,1,0,1
441,25-34,35,2,Electronics,1,60.12,1,1,1,1
442,25-34,380,0,Electronics,3,69.91,1,0,1,0
443,35-44,91,1,Books & Media,7,60.5,1,0,1,0
444,45-54,353,0,Books & Media,5,28.05,0,0,0,1
445,25-34,279,0,Home & Garden,6,43.43,0,0,0,0
446,25-34,197,2,Sports & Outdoors,7,41.37,0,0,0,0
447,25-34,615,8,Books & Media,1,41.76,0,0,0,1
448,18-24,298,0,Home & Garden,4,85.65,1,1,1,1
449,35-44,425,1,Books & Media,3,39.39,0,1,1,1
450,45-54,241,2,Sports & Outdoors,6,59.48,1,0,0,0
451,25-34,168,0,Electronics,5,61.47,1,0,1,0
452,18-24,250,1,Fashion,5,70.93,1,1,0,1
453,35-44,435,0,Books & Media,5,33.15,0,1,1,0
454,18-24,77,7,Home & Garden,4,37.98,0,1,1,0
455,25-34,71,8,Fashion,2,27.43,0,0,0,1
456,25-34,74,2,Home & Garden,3,49.7,0,0,0,1
457,35-44,182,1,Home & Garden,1,71.02,1,1,1,1
458,25-34,60,1,Books & Media,4,44.36,0,1,1,1
459,35-44,222,0,Electronics,7,92.53,1,1,1,1
460,25-34,295,3,Fashion,3,91.98,1,1,0,1
461,35-44,258,0,Sports & Outdoors,2,50.9,1,1,1,1
462,55+,68,1,Fashion,6,26.81,0,1,1,0
